user_id,cart_abandoned_date,last_order_date,avg_order_value,sessions_last_30d,num_cart_items,engagement_score,profitability_score,class_label,region
U00087,01-09-2025,19-06-2025,120,2,3,0.443,0.162,Regular,RegionA
U00088,01-09-2025,03-07-2025,70,2,1,0.182,0.166,Casual,RegionD
U00089,01-09-2025,13-08-2025,70,1,1,0.048,0.055,Casual,RegionD
U00090,01-09-2025,22-07-2025,110,5,2,0.378,0.194,Regular,RegionA
U00091,01-09-2025,,90,6,1,0.842,0.209,Regular,RegionA
U00092,01-09-2025,05-01-2025,50,3,3,0.284,0.074,Casual,RegionB
U00093,01-09-2025,05-11-2023,200,3,5,0.438,0.103,Regular,RegionD
U00094,01-09-2025,17-03-2025,140,1,2,0.15,0.154,Casual,RegionA
U00095,01-09-2025,24-07-2025,50,3,1,0.335,0.102,Casual,RegionD
U00096,01-09-2025,17-07-2025,820,5,1,0.559,0.338,VIP,RegionC
U00097,01-09-2025,30-03-2025,60,4,4,0.703,0.2,Regular,RegionE
U00098,01-09-2025,05-05-2025,60,1,4,0.353,0.068,Casual,RegionB
U00099,01-09-2025,15-10-2024,50,2,1,0.434,0.149,Casual,RegionA
U00100,01-09-2025,26-02-2024,100,5,1,0.885,0.211,Regular,RegionB
U00101,01-09-2025,,80,1,1,0.475,0.07,Casual,RegionB
U00102,01-09-2025,28-06-2024,50,0,1,0.597,0.048,Casual,RegionD
U00103,01-09-2025,29-07-2025,50,1,2,0.388,0.155,Casual,RegionA
U00104,01-09-2025,13-08-2025,900,9,3,0.863,0.246,VIP,RegionC
U00105,01-09-2025,21-12-2024,50,2,3,0.342,0.081,Casual,RegionA
U00106,01-09-2025,02-02-2024,70,2,3,0.377,0.117,Casual,RegionA
U00107,01-09-2025,10-10-2024,110,5,3,0.179,0.235,Regular,RegionB
U00108,01-09-2025,,270,4,1,0.638,0.148,Regular,RegionA
U00109,01-09-2025,17-07-2025,380,5,3,0.777,0.113,Regular,RegionA
U00110,01-09-2025,05-01-2024,2670,9,2,0.999,0.399,VIP,RegionD
U00111,01-09-2025,24-07-2025,170,3,2,0.529,0.212,Regular,RegionB
U00112,01-09-2025,23-07-2025,720,2,1,0.212,0.265,Regular,RegionA
U00113,01-09-2025,06-08-2025,19990,1,2,0,0.738,Casual,RegionA
U00114,01-09-2025,,50,4,2,0.124,0.04,Casual,RegionC
U00115,01-09-2025,04-07-2025,60,1,7,0.239,0.132,Casual,RegionA
U00116,01-09-2025,06-12-2024,320,1,5,0.351,0.102,Casual,RegionD
U00117,01-09-2025,,60,3,3,0.468,0.081,Casual,RegionB
U00118,01-09-2025,,90,1,1,0.396,0.071,Casual,RegionA
U00119,01-09-2025,25-08-2024,120,1,1,0.702,0.136,Regular,RegionC
U00120,01-09-2025,08-08-2025,90,0,1,0.212,0.129,Casual,RegionD
U00121,01-09-2025,29-08-2025,50,2,2,0.029,0,Casual,RegionC
U00122,01-09-2025,01-01-2025,50,3,4,0.302,0.086,Casual,RegionA
U00123,01-09-2025,03-11-2024,90,2,1,0.435,0.015,Casual,RegionB
U00124,01-09-2025,20-04-2025,50,4,4,0.514,0.099,Regular,RegionA
U00125,01-09-2025,21-02-2025,50,10,1,0.792,0.081,Regular,RegionA
U00126,01-09-2025,21-06-2025,50,1,3,0.017,0.066,Casual,RegionA
U00127,01-09-2025,30-01-2025,60,1,1,0.495,0.064,Casual,RegionB
U00128,01-09-2025,,50,0,2,0.214,0.125,Casual,RegionA
U00129,01-09-2025,06-07-2025,150,5,3,0.739,0.107,Regular,RegionE
U00130,01-09-2025,19-05-2025,410,6,1,0.084,0.236,VIP,RegionA
U00131,01-09-2025,04-11-2024,50,1,1,0.092,0.065,Casual,RegionB
U00132,01-09-2025,23-08-2025,70,1,2,0.384,0.107,Casual,RegionA
U00133,01-09-2025,10-07-2025,220,0,2,0.531,0.005,Casual,RegionD
U00134,01-09-2025,30-08-2025,170,2,6,0.488,0.102,Regular,RegionB
U00135,01-09-2025,13-11-2024,50,1,1,0.067,0.177,Casual,RegionD
U00136,01-09-2025,23-04-2024,50,2,2,0.149,0.084,Casual,RegionB
U00137,01-09-2025,11-02-2025,60,2,2,0.269,0.113,Regular,RegionC
U00138,01-09-2025,12-02-2024,60,3,3,0.286,0.092,Casual,RegionD
U00139,01-09-2025,08-08-2025,110,0,2,0,0.009,Dormant,RegionB
U00140,01-09-2025,06-08-2025,70,4,1,0.605,0.118,Casual,RegionA
U00141,01-09-2025,14-03-2025,250,2,1,0.332,0.101,Regular,RegionB
U00142,01-09-2025,19-08-2025,50,6,1,0.654,0.16,Regular,RegionC
U00143,01-09-2025,09-06-2025,150,2,1,0.06,0.063,Casual,RegionA
U00144,01-09-2025,26-06-2025,50,1,1,0.01,0.072,Casual,RegionA
U00145,01-09-2025,,750,0,1,0.069,0.064,Dormant,RegionB
U00146,01-09-2025,06-06-2025,110,4,3,0.763,0.217,Regular,RegionA
U00147,01-09-2025,15-07-2025,50,3,1,0.161,0.02,Casual,RegionB
U00148,01-09-2025,09-09-2024,50,2,2,0.461,0.114,Casual,RegionA
U00149,01-09-2025,29-06-2025,180,7,1,0.896,0.267,Regular,RegionB
U00150,01-09-2025,15-08-2025,50,2,2,0.272,0.106,Casual,RegionA
U00151,01-09-2025,,130,1,3,0,0.029,Dormant,RegionA
U00152,01-09-2025,15-12-2024,50,4,2,0.402,0.137,Casual,RegionA
U00153,01-09-2025,26-08-2025,130,4,4,0.283,0.087,Casual,RegionA
U00154,01-09-2025,10-03-2024,550,6,1,0.688,0.118,Regular,RegionA
U00155,01-09-2025,04-06-2025,50,2,3,0.148,0.092,Casual,RegionD
U00156,01-09-2025,,60,2,2,0.256,0.143,Casual,RegionA
U00157,01-09-2025,,50,3,2,0.036,0.093,Casual,RegionB
U00158,01-09-2025,05-08-2025,190,3,1,0.308,0.186,Regular,RegionB
U00159,01-09-2025,06-06-2025,70,7,5,0.587,0.257,Regular,RegionA
U00160,01-09-2025,28-05-2024,170,3,1,0.651,0.166,Regular,RegionB
U00161,01-09-2025,11-07-2025,19990,3,2,0.166,0.778,Casual,RegionB
U00162,01-09-2025,26-07-2025,50,2,1,0.073,0.093,Casual,RegionA
U00163,01-09-2025,13-09-2023,50,2,4,0.114,0.134,Casual,RegionA
U00164,01-09-2025,13-11-2024,50,2,1,0.218,0.151,Casual,RegionC
U00165,01-09-2025,02-04-2025,70,2,2,0.348,0.207,Regular,RegionD
U00166,01-09-2025,25-07-2025,170,1,4,0.22,0.082,Casual,RegionA
U00167,01-09-2025,24-08-2025,50,2,3,0.103,0.163,Casual,RegionC
U00168,01-09-2025,04-02-2025,380,5,1,0.842,0.184,VIP,RegionB
U00169,01-09-2025,14-06-2025,1320,14,2,0.662,0.398,VIP,RegionC
U00170,01-09-2025,29-06-2025,50,0,1,0.163,0.144,Casual,RegionC
U00171,01-09-2025,05-07-2025,50,4,1,0.276,0.134,Casual,RegionB
U00172,01-09-2025,21-06-2025,50,0,2,0.132,0.134,Casual,RegionE
U00173,01-09-2025,02-03-2024,50,2,4,0.03,0.168,Casual,RegionA
U00174,01-09-2025,20-07-2024,50,1,1,0,0.039,Casual,RegionA
U00175,01-09-2025,05-06-2025,60,1,1,0.036,0.086,Casual,RegionC
U00176,01-09-2025,19-07-2025,70,1,3,0.271,0.12,Regular,RegionE
U00177,01-09-2025,21-07-2025,80,3,2,0.23,0.188,Casual,RegionB
U00178,01-09-2025,15-08-2025,110,1,1,0.272,0.064,Casual,RegionB
U00179,01-09-2025,11-12-2023,50,1,2,0,0.143,Casual,RegionD
U00180,01-09-2025,15-06-2025,50,1,2,0.078,0.136,Casual,RegionD
U00181,01-09-2025,21-08-2025,340,5,3,0.691,0.171,Regular,RegionC
U00182,01-09-2025,31-08-2025,180,2,2,0.071,0.071,Casual,RegionE
U00183,01-09-2025,13-08-2024,380,5,2,0.559,0.163,Regular,RegionA
U00184,01-09-2025,22-08-2025,50,2,1,0.293,0.05,Casual,RegionC
U00185,01-09-2025,10-01-2025,120,4,5,0.839,0.108,Regular,RegionA
U00186,01-09-2025,13-08-2024,50,3,1,0.38,0.125,Casual,RegionA
U00187,01-09-2025,29-08-2025,130,1,1,0.531,0.297,Regular,RegionB
U00188,01-09-2025,09-06-2025,50,1,1,0.566,0.08,Casual,RegionB
U00189,01-09-2025,25-10-2023,110,2,1,0.055,0.09,Casual,RegionA
U00190,01-09-2025,26-03-2025,50,4,2,0.697,0.144,Casual,RegionB
U00191,01-09-2025,05-06-2025,120,1,2,0.313,0.129,Regular,RegionC
U00192,01-09-2025,16-07-2025,90,3,5,0.333,0.043,Casual,RegionE
U00193,01-09-2025,30-06-2025,120,0,1,0.128,0.132,Casual,RegionC
U00194,01-09-2025,24-03-2024,80,0,3,0,0.093,Casual,RegionB
U00195,01-09-2025,28-06-2025,220,2,1,0.199,0.242,Regular,RegionA
U00196,01-09-2025,02-05-2025,80,0,1,0,0.133,Casual,RegionA
U00197,01-09-2025,31-12-2024,110,2,2,0.066,0.143,Casual,RegionA
U00198,01-09-2025,19-08-2025,130,1,1,0.365,0.065,Casual,RegionD
U00199,01-09-2025,06-06-2025,50,2,4,0.283,0.176,Casual,RegionC
U00200,01-09-2025,25-03-2025,770,8,2,0.986,0.269,VIP,RegionB
U00201,01-09-2025,05-08-2025,170,1,3,0.168,0.12,Casual,RegionA
U00202,01-09-2025,,50,1,1,0.069,0.184,Casual,RegionE
U00203,01-09-2025,,100,2,3,0.167,0.071,Regular,RegionA
U00204,01-09-2025,12-06-2025,80,5,1,0.67,0.045,Regular,RegionB
U00205,01-09-2025,03-08-2025,50,1,4,0.136,0.151,Casual,RegionB
U00206,01-09-2025,17-11-2024,50,4,2,0.62,0.125,Casual,RegionA
U00207,01-09-2025,25-04-2025,500,1,1,0,0.012,Dormant,RegionC
U00208,01-09-2025,26-11-2024,50,2,2,0.16,0.071,Casual,RegionB
U00209,01-09-2025,16-03-2024,50,1,1,0.195,0.071,Casual,RegionB
U00210,01-09-2025,29-08-2025,90,1,5,0.18,0.106,Casual,RegionA
U00211,01-09-2025,11-06-2024,80,0,2,0,0.087,Dormant,RegionA
U00212,01-09-2025,28-08-2025,160,0,10,0.204,0.197,Casual,RegionD
U00213,01-09-2025,,50,0,1,0.106,0.053,Casual,RegionC
U00214,01-09-2025,19-11-2024,100,2,3,0.022,0.118,Casual,RegionA
U00215,01-09-2025,02-11-2024,70,2,4,0.282,0.12,Casual,RegionA
U00216,01-09-2025,18-07-2025,110,1,1,0.023,0.072,Casual,RegionB
U00217,01-09-2025,26-09-2024,100,0,1,0,0.003,Casual,RegionB
U00218,01-09-2025,,140,8,1,1,0.27,VIP,RegionA
U00219,01-09-2025,27-04-2024,620,3,1,0.736,0.222,Regular,RegionB
U00220,01-09-2025,09-08-2024,60,2,2,0.59,0.198,Regular,RegionB
U00221,01-09-2025,01-08-2025,510,4,1,0.795,0.258,Regular,RegionE
U00222,01-09-2025,14-01-2024,50,2,1,0.366,0.118,Casual,RegionA
U00223,01-09-2025,13-07-2025,90,3,2,0.495,0.325,Regular,RegionD
U00224,01-09-2025,23-07-2025,50,4,2,0.261,0.105,Casual,RegionD
U00225,01-09-2025,20-11-2024,120,0,5,0.172,0.037,Casual,RegionA
U00226,01-09-2025,29-08-2025,350,7,4,0.717,0.276,VIP,RegionC
U00227,01-09-2025,14-08-2025,240,2,2,0.277,0.043,Casual,RegionB
U00228,01-09-2025,06-12-2024,50,1,2,0.055,0.109,Casual,RegionD
U00229,01-09-2025,27-08-2025,50,3,3,0.079,0.13,Casual,RegionA
U00230,01-09-2025,23-06-2025,910,5,2,0.714,0.29,VIP,RegionA
U00231,01-09-2025,26-06-2024,100,4,1,0.553,0.16,Regular,RegionD
U00232,01-09-2025,17-06-2024,110,2,1,0.119,0.046,Casual,RegionA
U00233,01-09-2025,23-07-2025,90,0,2,0.118,0.096,Casual,RegionC
U00234,01-09-2025,30-01-2024,50,3,3,0.134,0.066,Casual,RegionA
U00235,01-09-2025,29-06-2025,120,1,3,0.253,0.108,Casual,RegionC
U00236,01-09-2025,21-08-2025,80,1,1,0.112,0.128,Casual,RegionA
U00237,01-09-2025,01-02-2025,4990,2,1,0.018,0.3,Casual,RegionE
U00238,01-09-2025,10-08-2025,50,3,1,0.085,0.133,Casual,RegionC
U00239,01-09-2025,08-12-2023,210,1,2,0.286,0.119,Regular,RegionB
U00240,01-09-2025,29-08-2024,170,11,1,0.869,0.311,VIP,RegionD
U00241,01-09-2025,20-08-2025,270,3,2,0.195,0.157,Regular,RegionA
U00242,01-09-2025,,50,0,1,0.229,0.067,Casual,RegionC
U00243,01-09-2025,03-08-2025,70,4,1,0.238,0.093,Casual,RegionC
U00244,01-09-2025,18-06-2025,50,0,3,0.157,0.114,Casual,RegionA
U00245,01-09-2025,,50,0,1,0.158,0.1,Casual,RegionA
U00246,01-09-2025,04-06-2025,110,1,4,0.18,0.047,Regular,RegionA
U00247,01-09-2025,07-07-2025,50,6,2,0.55,0.103,Casual,RegionA
U00248,01-09-2025,,70,2,3,0.12,0.144,Casual,RegionD
U00249,01-09-2025,18-06-2025,50,0,1,0.488,0.106,Casual,RegionB
U00250,01-09-2025,15-09-2023,50,4,3,0.515,0.158,Casual,RegionD
U00251,01-09-2025,16-06-2025,60,1,5,0.554,0.092,Casual,NicheRegionX
U00252,01-09-2025,15-06-2025,50,1,1,0.038,0.063,Casual,RegionB
U00253,01-09-2025,08-06-2025,500,3,2,0.353,0.222,Regular,RegionA
U00254,01-09-2025,20-07-2025,250,0,4,0.123,0.089,Casual,RegionC
U00255,01-09-2025,24-12-2024,60,0,1,0.205,0.075,Casual,RegionC
U00256,01-09-2025,12-09-2023,210,7,1,0.755,0.18,Regular,RegionB
U00257,01-09-2025,,200,1,1,0.384,0.099,Casual,RegionC
U00258,01-09-2025,04-06-2025,50,3,2,0.545,0.115,Casual,RegionC
U00259,01-09-2025,13-02-2025,50,0,1,0.137,0.163,Casual,RegionA
U00260,01-09-2025,,50,2,1,0.193,0.122,Casual,RegionB
U00261,01-09-2025,26-01-2025,50,3,1,0.159,0.179,Casual,RegionD
U00262,01-09-2025,02-11-2024,50,3,4,0.598,0.131,Regular,RegionA
U00263,01-09-2025,10-01-2025,50,3,4,0.725,0.115,Regular,RegionD
U00264,01-09-2025,,90,1,1,0,0.088,Casual,RegionA
U00265,01-09-2025,09-07-2025,1870,10,6,0.017,0.057,VIP,RegionB
U00266,01-09-2025,01-02-2024,140,7,1,0.323,0.225,Regular,RegionA
U00267,01-09-2025,03-06-2025,140,4,1,0.566,0.098,Regular,RegionC
U00268,01-09-2025,12-04-2024,210,1,1,0.226,0.095,Casual,RegionB
U00269,01-09-2025,27-08-2025,140,3,1,0.236,0.142,Casual,RegionA
U00270,01-09-2025,25-04-2024,50,0,3,0.215,0.076,Casual,RegionA
U00271,01-09-2025,10-08-2025,220,4,3,0.583,0.159,Casual,RegionE
U00272,01-09-2025,20-04-2024,120,0,2,0.344,0.152,Casual,RegionA
U00273,01-09-2025,22-10-2023,80,4,1,0.271,0.15,Regular,RegionA
U00274,01-09-2025,10-03-2025,50,0,5,0.273,0,Casual,RegionB
U00275,01-09-2025,01-01-2024,50,1,3,0.434,0.067,Casual,RegionA
U00276,01-09-2025,04-06-2025,50,3,1,0.354,0.102,Casual,RegionA
U00277,01-09-2025,19-03-2024,70,2,2,0.229,0.087,Casual,RegionC
U00278,01-09-2025,25-05-2025,50,2,3,0.027,0.149,Casual,RegionB
U00279,01-09-2025,15-07-2025,130,3,4,0.557,0.164,Casual,RegionA
U00280,01-09-2025,08-08-2025,1290,7,7,0.88,0.374,VIP,RegionA
U00281,01-09-2025,06-08-2025,50,2,2,0.379,0.061,Casual,RegionB
U00282,01-09-2025,,80,3,2,0.119,0.093,Casual,RegionC
U00283,01-09-2025,16-08-2025,100,2,1,0.348,0.06,Casual,RegionB
U00284,01-09-2025,05-03-2025,80,3,1,0.112,0.126,Casual,RegionB
U00285,01-09-2025,01-02-2025,310,2,6,0.607,0.2,Regular,RegionA
U00286,01-09-2025,28-02-2024,120,2,4,0.01,0.046,Dormant,RegionB
U00287,01-09-2025,20-11-2023,120,2,3,0.121,0.09,Casual,RegionC
U00288,01-09-2025,18-06-2025,70,4,1,0.42,0,Casual,RegionD
U00289,01-09-2025,23-07-2025,60,3,3,0.134,0.146,Casual,RegionB
U00290,01-09-2025,14-06-2025,110,0,2,0,0.146,Dormant,RegionB
U00291,01-09-2025,26-06-2024,50,3,1,0.449,0.057,Casual,RegionC
U00292,01-09-2025,10-07-2025,60,3,3,0.214,0.075,Casual,RegionB
U00293,01-09-2025,04-08-2025,290,3,4,0.207,0.218,Regular,RegionB
U00294,01-09-2025,26-07-2024,140,1,1,0.134,0.114,Casual,RegionC
U00295,01-09-2025,03-06-2025,60,3,2,0.473,0.092,Casual,RegionA
U00296,01-09-2025,08-01-2025,90,5,3,0.462,0.092,Casual,RegionA
U00297,01-09-2025,11-06-2025,150,5,2,0.424,0.152,Regular,RegionC
U00298,01-09-2025,29-07-2025,50,1,4,0.017,0.091,Casual,RegionB
U00299,01-09-2025,24-03-2025,250,6,4,0.671,0.137,Regular,RegionC
U00300,01-09-2025,02-08-2025,140,4,2,0.307,0.182,Regular,RegionB
U00301,01-09-2025,11-06-2025,80,3,4,0.333,0.034,Casual,RegionA
U00302,01-09-2025,21-03-2025,120,4,2,0.356,0.148,Regular,RegionE
U00303,01-09-2025,25-10-2024,50,2,2,0.514,0.08,Casual,RegionD
U00304,01-09-2025,18-07-2024,400,5,1,0.247,0.178,Regular,RegionA
U00305,01-09-2025,13-06-2025,50,0,1,0.237,0.18,Casual,RegionC
U00306,01-09-2025,15-02-2024,50,1,1,0.114,0.057,Casual,RegionC
U00307,01-09-2025,23-07-2025,50,0,3,0.261,0.142,Casual,RegionC
U00308,01-09-2025,01-05-2025,50,2,1,0.15,0.046,Casual,RegionA
U00309,01-09-2025,27-01-2024,50,2,4,0.205,0.07,Casual,RegionA
U00310,01-09-2025,06-02-2024,100,4,1,0.825,0.095,Regular,RegionC
U00311,01-09-2025,06-10-2024,60,0,1,0,0.044,Casual,RegionA
U00312,01-09-2025,18-12-2024,50,2,1,0.696,0.071,Casual,RegionC
U00313,01-09-2025,12-05-2025,50,2,4,0,0.139,Casual,RegionB
U00314,01-09-2025,06-05-2025,240,4,3,0.462,0.147,Regular,RegionB
U00315,01-09-2025,12-08-2025,80,2,4,0.269,0.11,Casual,RegionA
U00316,01-09-2025,10-05-2025,50,1,1,0.316,0.012,Casual,RegionB
U00317,01-09-2025,,70,1,8,0.205,0.128,Casual,RegionA
U00318,01-09-2025,05-10-2024,1140,6,1,0.365,0.304,VIP,RegionA
U00319,01-09-2025,17-08-2025,50,0,4,0.214,0.104,Casual,RegionA
U00320,01-09-2025,17-10-2024,90,3,1,0.109,0.091,Casual,RegionA
U00321,01-09-2025,,150,2,3,0.685,0.195,Regular,RegionD
U00322,01-09-2025,,50,1,2,0.227,0.038,Casual,RegionC
U00323,01-09-2025,13-08-2025,420,10,1,0.676,0.302,VIP,RegionB
U00324,01-09-2025,05-06-2025,130,3,2,0.364,0.112,Regular,RegionA
U00325,01-09-2025,11-01-2025,50,3,9,0.177,0.024,Casual,RegionC
U00326,01-09-2025,23-01-2025,50,1,1,0.47,0.018,Casual,RegionD
U00327,01-09-2025,22-08-2025,180,6,2,0.634,0.143,Regular,RegionA
U00328,01-09-2025,,50,1,3,0.32,0.15,Casual,RegionC
U00329,01-09-2025,30-08-2025,160,4,3,0.544,0.108,Regular,RegionA
U00330,01-09-2025,09-08-2025,70,1,2,0.091,0.012,Casual,RegionB
U00331,01-09-2025,22-12-2023,50,3,1,0.436,0.073,Casual,RegionD
U00332,01-09-2025,21-07-2024,70,2,1,0.415,0.067,Casual,RegionA
U00333,01-09-2025,,50,1,1,0.272,0.024,Casual,RegionB
U00334,01-09-2025,25-08-2025,160,3,2,0.664,0.164,Regular,RegionA
U00335,01-09-2025,,260,11,3,0.723,0.24,VIP,RegionA
U00336,01-09-2025,28-08-2025,70,3,1,0.458,0.111,Casual,RegionA
U00337,01-09-2025,29-07-2025,90,1,3,0.31,0.17,Regular,RegionB
U00338,01-09-2025,26-05-2025,90,0,1,0.374,0.135,Casual,RegionE
U00339,01-09-2025,08-04-2024,60,0,1,0.033,0.108,Casual,RegionA
U00340,01-09-2025,21-08-2025,90,1,3,0.644,0.192,Regular,RegionB
U00341,01-09-2025,03-07-2025,130,6,3,0.956,0.016,Regular,RegionD
U00342,01-09-2025,15-09-2024,160,10,2,0.651,0.07,Regular,RegionA
U00343,01-09-2025,07-08-2025,50,1,1,0.155,0.128,Casual,RegionB
U00344,01-09-2025,10-11-2024,60,1,1,0.286,0.103,Casual,RegionB
